FacultyName,Course,Comments,Target,Class,Teaching Pedagogy_terms,Teaching Pedagogy_polarity,Knowledge_terms,Knowledge_polarity,Fair in Assessment_terms,Fair in Assessment_polarity,Experience_terms,Experience_polarity,Behavior_terms,Behavior_polarity
Faculty_17,Methods of Business Research,¿bakwas,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Course bhi sahi hai,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Nice teacher but we couldn't get the subject at all,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Fine teacher,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good teacher,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Not prepared for class,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,He should improve teaching way..,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,The teacher has high expectation with us which can't be full filled by undergraduate students,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"Teacher can not communicate effectively to class. That is why, there is negligible learning in this course though it is crucial course.",Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Huge respect for you sir. They way you teach and the subject knowledge you have is commendable,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,I learned nothing because of his teaching style focused more on doing our work by ourselves rather teaching the course,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"Great and Cooperative, student centric and respectful to students",Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,He comes in class just for  formality . And actually whole class can not get his teaching methodology. We didn't learnt a single concept in his classes.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,He is a nice teacher,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Always prepared for class and humble behaviour,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Teacher's method of teaching was good and interactive but I could not get the major concepts because he use Finland teaching methodology,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good but give late result,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,He is the best teacher and good way of teaching.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,The teacher was hard working but unfortunately he taught things so complex that few in the class were able to understand.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Teacher is not well prepared he need proper teaching training.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Great teacher and has great knowledge about things,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Teacher behaviour was good but their way of teaching was not clearly understandable,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Overall good teacher,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Teacher overburdnize the students although his way of teaching is good and teaches us well but we don't get out what he is actually teaching not because his way of teaching but because he expected from us alot,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Very kind man.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good and supportive teacher,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Very lazy ¿¿,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Siirrrr achy hai,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,The course is very dry.,Course,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"The course was completely well related with defining problem and reaching out to the it's solutions using any research methodlogie and collecting data from primary and secondary sources to reach out at actual facts while being with valid, reliable, and generalized solutions applicable to every situation.",Course,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Cousrse was interesting,Course,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,value able course,Course,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,The course is good but it is little bit  stressful to write research paper in this semester along with this course other activities like quizzes.,Course,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,N/A not learned,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,This course is very booring in my perspective,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Relevant to the degree but a little bit difficult,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Course is just fine in sense for providing information about how research is conducted,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,This course not only expanded my knowledge but also challenged me to think critically. I'm leaving with a deeper understanding of the subject matter.,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,helpful and useful,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Interesting,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,The course outline was good.,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good one,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,helpful,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,No comment,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"The course is really good, from what i have gathered from the book its interesting but again if the instructor is not able to apply it well in classroom then its a waste of time.",Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,N/A-,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,New and Critical to understand,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Standardized one,Course,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"He is not prepared in the class as usual. Yet he hasn't checked our midterm exams. The teacher should follow the policy as well. Like there has a new policy that no one can withdraw the subjects like right before u cam withdraw but you can't later on. He is not taking the course seriously, like this is our first research subject we need to learn and need guidance from our teacher. When we used to ask him a question. He will never answer our queries. A teacher should follow the teachers rules as well.",Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"The teacher remained fair with other students. However, he always showed discrimination with my class participations.",Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Sir Mansoor don't know how to teach. He didn't come prepared in class. He use to blame us that you people are not studying. But he himself neither gave timely feedback nor he proceeded in a timely mannner. He made the course difficult.,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,overall good teacher,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Teacher is good and cooperative,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,N/A sir tried his best but actually it was his not field he didn't convey the concept properly ¿¿,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Teacher don't bdeliver is well. I'm dissatisfied with teacher's way of delivering.,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good teacher,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,He has good knowledge but he's not a good teacher,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Your commitment to helping students grow not only academically but also personally is truly admirable. Thank you for being an incredible mentor.,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Teacher,Class 3,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good but still needs some improvements regarding the course and students' level.,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,He always came to class unprepared. Whenever we ask questions about anything he gave us big 1000 to 1200 word article to go through and address are confusion out of that.,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Nice,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,very supportive,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Good,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"Good, supportive and delivered knowledge effectively",Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,No comments.,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"our course instructor was not able to convey his knowledge of the subject effectively to us. the whole semester is about to finish and we are still not clear with how to really conduct research. he didnt teach anything from the book at all, came read some or few slides, said a few  general things and kept pressing about writing a research paper, how are we suppose to write a research paper when we have not completed the learning procedure yet, the objective of this course was first to learn. i really find it off putting how he didnt provide any feedback on time and will just read a few lines and base his feedback on that, i am disappointed over all. i thought this course will be helpful in my career but i have not learned anything except for a few definitions.",Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,"not every teacher can teach research subjects, this teacher wasted our time",Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Ok,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Methods of Business Research,Very cooperative and decent teacher,Teacher,Class 4,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Informative for market work,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,up to date  course,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Good,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,All good,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Course should be update BCZ we were learning the same book from last 10 years,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Good course,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Course was informative.,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,It was a good experience learning the course. I personally loved it,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Learnt new knowledge and practical examples,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,"Course was amazing but due to teacher we couldn't understand, the things which we understand",Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Good course,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,"Teacher is not well prepared , he need 1.5 hour to prepare himself during the class sadly but he forgranted his teaching career.",Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,The course was good. If the teacher were good it will be more interested.,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,nice course,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,The course is very interesting.,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Course bhi behtreen hai,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,No Any.,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Informative,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Subject is good and interesting,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,No comment.,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Good,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Great,Course,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Well prepared and knowleabable instructor,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,student centric approach,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Good,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Consumer behavior course taught by you build up my interest in a creative way and enjoy the learning.,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Teacher's method of teaching was not good but somehow he grab attention by showing Ads,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,"Teacher is well natured person 
Respect the student",Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,He is the best teacher.,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,He taught us well.,Teacher,Class 1,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Cooperative,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,"If i talk abt the teacher, he was not prepare for the material in which he will deliver so he wast his time in the class",Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,He always used to make excuses as he was never prepared for the class. A very procrastinating and a lethargic teacher.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Course is interesting and relevant related to marketing major.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,He always came to unprepared.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,nice teacher,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
Faculty_17,Consumer Behavior,Great teacher and has great knowledge about things.,Teacher,Class 2,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral,Some term,Neutral
